iter	RMSE
180	223478.1508
181	223384.2717
182	223324.5944
183	223258.407
184	223158.594
185	223088.1456
186	223019.3808
187	222941.5353
188	222853.9773
189	222800.0954
190	222717.2385
191	222636.4008
192	222538.719
193	222482.2639
194	222416.4035
195	222352.2056
196	222298.7349
197	222243.2066
198	222173.9076
199	222128.3789
200	222054.8581
201	222004.8599
202	221935.716
203	221880.3076
204	221792.3794
205	221728.6904
206	221675.523
207	221614.6278
208	221559.7607
209	221490.7953
210	221444.6068
211	221399.3426
212	221341.6634
213	221291.467
214	221237.7213
215	221199.3251
216	221144.915
217	221096.6694
218	221033.9498
219	220982.1051
220	220929.9417
221	220876.0106
222	220830.2716
223	220793.9733
224	220748.0952
225	220708.8023
226	220645.3649
227	220589.9914
228	220543.3211
229	220506.6108
230	220475.0115
231	220425.6183
232	220389.3821
233	220343.9921
234	220290.2224
235	220253.2851
236	220218.5355
237	220175.1067
238	220132.2211
239	220095.7499
240	220051.6287
241	220016.1195
242	219981.1947
243	219932.4685
244	219895.3978
245	219863.4535
246	219828.1332
247	219789.6333
248	219752.467
249	219712.218
250	219665.2347
251	219625.7324
252	219597.5827
253	219567.1203
254	219537.3038
255	219506.2173
256	219467.0702
257	219438.9782
258	219405.1611
259	219377.0386
260	219344.2744
261	219307.2893
262	219263.4466
263	219231.8265
264	219203.2315
265	219161.5299
266	219130.6153
267	219106.9553
268	219082.1888
269	219054.7066
270	219025.5259
271	218994.734
272	218974.7654
273	218952.0794
274	218925.4282
275	218896.6922
276	218872.8507
277	218852.2202
278	218823.1882
279	218791.4743
280	218765.5449
281	218737.2753
282	218706.144
283	218670.049
284	218646.2324
285	218613.7286
286	218595.0357
287	218579.3017
288	218549.0627
289	218520.4695
290	218493.6138
291	218468.7856
292	218450.8233
293	218428.6328
294	218403.5435
295	218376.8192
296	218354.8087
297	218332.3499
298	218307.0512
299	218288.6163
300	218269.3029
301	218247.9439
302	218226.5176
303	218205.85
304	218181.9608
305	218155.3043
306	218133.8656
307	218115.8512
308	218088.7981
309	218066.6463
310	218048.8586
311	218033.1684
312	218013.6007
313	217996.1828
314	217974.6463
315	217958.5866
316	217941.1891
317	217924.2465
318	217902.4391
319	217881.828
320	217865.443
321	217846.6676
322	217825.9645
323	217802.503
324	217780.7602
325	217760.8502
326	217745.0692
327	217723.5646
328	217702.9964
329	217682.2135
330	217664.162
331	217643.4337
332	217624.4444
333	217608.2564
334	217591.5553
335	217574.2967
336	217555.0773
337	217538.0914
338	217521.781
339	217506.1356
340	217486.5693
341	217469.2842
342	217450.5984
343	217433.5152
344	217415.8079
345	217396.8753
346	217379.9252
347	217363.4234
348	217352.3777
349	217339.896
350	217323.3473
351	217308.7401
352	217293.3287
353	217280.0013
354	217264.2775
355	217250.9287
356	217238.8718
357	217223.9578
358	217211.2569
359	217197.1057
360	217183.5701
361	217168.9664
362	217155.0543
363	217134.5379
364	217119.5983
365	217102.514
366	217088.8734
367	217076.2832
368	217062.9729
369	217048.0272
370	217035.2421
371	217020.8509
372	217007.3766
373	216994.1721
374	216981.2183
375	216968.7437
376	216952.6142
377	216939.815
378	216927.0976
379	216915.7681
380	216899.4947
381	216884.2228
382	216874.0941
383	216863.901
384	216851.5398
385	216838.1482
386	216824.0762
387	216807.5786
388	216798.5067
389	216785.5348
390	216772.0366
391	216756.6073
392	216744.0993
393	216730.2372
394	216719.822
395	216708.2859
396	216693.8354
397	216681.5777
398	216672.0755
399	216659.5763
400	216649.2818
401	216634.5369
402	216625.5078
403	216614.5148
404	216603.5178
405	216591.3601
406	216574.8555
407	216564.8222
408	216554.7258
409	216546.3457
410	216536.662
411	216525.7503
412	216514.8999
413	216498.8498
414	216485.9401
415	216475.0353
416	216460.8599
417	216450.1805
418	216440.5453
419	216430.5659
420	216420.5402
421	216411.0014
422	216400.6656
423	216390.0936
424	216378.8559
425	216366.4564
426	216358.0365
427	216348.5776
428	216340.0104
429	216328.0283
430	216317.8555
431	216307.4148
432	216294.2801
433	216281.7647
434	216273.0263
435	216263.7701
436	216252.8146
437	216240.5621
438	216225.3361
439	216215.0324
440	216202.7701
441	216194.593
442	216185.4812
443	216170.4933
444	216161.6741
445	216149.8066
446	216136.9913
447	216129.5908
448	216117.8674
449	216108.1475
450	216100.6678
451	216091.0782
452	216080.6657
453	216066.8333
454	216055.6792
455	216044.8104
456	216035.7088
457	216020.2911
458	216010.0463
459	216001.2649
460	215988.1369
461	215977.2091
462	215968.338
463	215961.9274
464	215952.3958
465	215944.3587
466	215932.1621
467	215922.5192
468	215915.7484
469	215900.566
470	215889.8695
471	215881.8575
472	215871.2386
473	215862.9325
474	215854.6358
475	215847.4699
476	215835.4563
477	215825.2234
478	215813.3598
479	215803.4763
480	215792.0524
481	215781.8277
482	215774.3919
483	215763.3612
484	215752.5741
485	215742.2756
486	215733.3532
487	215724.6171
488	215715.1512
489	215706.9994
490	215695.8748
491	215688.331
492	215680.1323
493	215669.9104
494	215661.043
495	215652.0181
496	215644.5529
497	215635.0195
498	215626.505
499	215617.6652
500	215604.3582
501	215596.3586
502	215587.5477
503	215580.9871
504	215574.6601
505	215565.3009
506	215558.0671
507	215550.2182
508	215545.0334
509	215534.1999
510	215523.5816
511	215511.1038
512	215503.7052
513	215497.4084
514	215489.4469
515	215478.7751
516	215472.2809
517	215459.4758
518	215450.9284
519	215441.4233
520	215432.7932
521	215425.0504
522	215416.6001
523	215404.769
524	215391.2935
525	215380.6687
526	215373.2581
527	215364.7542
528	215356.5493
529	215344.5242
530	215337.1103
531	215330.027
532	215323.6131
533	215312.2502
534	215299.1653
535	215291.9863
536	215280.6843
537	215274.8389
538	215265.4352
539	215257.9928
540	215249.9072
541	215242.4845
542	215234.2682
543	215228.6487
544	215219.4644
545	215210.5676
546	215205.1305
547	215198.029
548	215190.4605
549	215183.6368
550	215173.4739
551	215165.8914
552	215159.8461
553	215152.4314
554	215144.9176
555	215138.6882
556	215127.1927
557	215119.848
558	215111.8692
559	215102.6214
560	215096.4861
561	215087.1071
562	215077.6037
563	215069.044
564	215056.2575
565	215049.8216
566	215039.0122
567	215033.7873
568	215024.3608
569	215015.1249
570	215007.3134
571	215001.2588
572	214992.8848
573	214983.9658
574	214972.8309
575	214964.2656
576	214957.6726
577	214950.8054
578	214941.8949
579	214932.6824
580	214926.5876
581	214916.036
582	214905.5824
583	214894.2795
584	214883.493
585	214875.9599
586	214867.9955
587	214859.7279
588	214853.0254
589	214844.329
590	214836.0852
591	214826.8506
592	214817.5822
593	214809.329
594	214796.9775
595	214785.8699
596	214779.8918
597	214773.6532
598	214767.3709
599	214760.6424
600	214752.6603
601	214745.0392
602	214738.4192
603	214728.7698
604	214720.0002
605	214709.8615
606	214702.9902
607	214695.5805
608	214688.5034
609	214679.5397
610	214669.1488
611	214661.5371
612	214652.6145
613	214645.2509
614	214636.0786
615	214630.7351
616	214623.7816
617	214613.774
618	214607.889
619	214600.3689
620	214589.8459
621	214583.6527
622	214578.1337
623	214571.0234
624	214562.9212
625	214556.7471
626	214548.5802
627	214541.797
628	214533.496
629	214521.9764
630	214513.5725
631	214507.5781
632	214502.0461
633	214496.1962
634	214488.5347
635	214482.5428
636	214474.3311
637	214467.227
638	214460.2565
639	214452.6274
640	214445.6891
641	214439.2939
642	214432.9383
643	214425.7908
644	214415.6076
645	214404.7767
646	214399.0928
647	214393.1375
648	214382.9606
649	214376.8358
650	214370.5335
651	214364.0605
652	214354.5494
653	214347.492
654	214340.0666
655	214331.8138
656	214320.8922
657	214315.2811
658	214307.8818
659	214299.5435
660	214292.559
661	214285.0101
662	214278.6126
663	214268.6958
664	214260.4148
665	214248.8771
666	214240.8281
667	214235.6357
668	214228.9792
669	214223.2508
670	214215.8697
671	214208.8513
672	214202.8072
673	214193.7973
674	214187.4675
675	214181.9354
676	214176.0989
677	214168.1822
678	214161.8838
679	214155.6026
680	214147.8157
681	214141.8131
682	214135.1803
683	214126.3046
684	214118.4871
685	214112.401
686	214106.4515
687	214099.6331
688	214095.0314
689	214088.8678
690	214081.4117
691	214076.0463
692	214069.5842
693	214061.9594
694	214056.6633
695	214048.3145
696	214041.0875
697	214033.1565
698	214022.1921
699	214012.7522
700	214003.6076
701	213993.5802
702	213981.83
703	213974.257
704	213967.0087
705	213956.4949
706	213950.7226
707	213944.7365
708	213936.9866
709	213930.4639
710	213919.1173
711	213910.507
712	213903.576
713	213898.4858
714	213893.5911
715	213883.7253
716	213876.0183
717	213868.6855
718	213862.4802
719	213856.7078
720	213849.6158
721	213841.7705
722	213833.8605
723	213828.5627
724	213820.823
725	213814.3775
726	213808.3311
727	213799.5553
728	213792.6858
729	213785.1067
730	213779.3228
731	213772.7176
732	213766.2422
733	213760.3027
734	213752.2141
735	213744.8892
736	213738.4325
737	213730.9951
738	213724.7303
739	213717.4202
740	213710.0904
741	213705.495
742	213699.3713
743	213692.6316
744	213687.2643
745	213680.0741
746	213674.8282
747	213669.8707
748	213665.4503
749	213656.2327
750	213649.5024
751	213643.0317
752	213637.1148
753	213629.4773
754	213623.288
755	213612.3792
756	213602.6895
757	213595.9089
758	213587.3699
759	213580.932
760	213575.5588
761	213569.2538
762	213563.5896
763	213556.6999
764	213550.2298
765	213543.4684
766	213535.6789
767	213530.041
768	213524.9921
769	213521.1368
770	213513.7573
771	213507.3273
772	213497.726
773	213493.5839
774	213487.5929
775	213480.8973
776	213475.7692
777	213466.6345
778	213461.5199
779	213455.3709
780	213450.3592
781	213442.1903
782	213436.3268
783	213430.4181
784	213420.696
785	213412.9821
786	213407.8342
787	213399.856
788	213393.3284
789	213388.3288
790	213382.846
791	213376.8433
792	213367.0293
793	213361.4265
794	213355.154
795	213347.1978
796	213340.5521
797	213330.1408
798	213322.6708
799	213317.1255
